Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,25.400000,25.719999,25.360001,25.513000,25.513000,5400
2018-03-23,25.520000,25.520000,24.101000,24.101000,24.101000,205000
2018-03-26,24.350000,24.850000,24.350000,24.840000,24.840000,102400
2018-03-27,24.650000,24.650000,23.459999,24.080000,24.080000,8500
2018-03-28,23.900000,23.900000,23.100000,23.379999,23.379999,2200
2018-03-29,22.900000,22.900000,22.780001,22.780001,22.780001,1100
2018-04-02,24.459999,24.459999,22.950001,23.000000,23.000000,1900
2018-04-03,22.000000,22.000000,21.250000,21.250000,21.250000,2000
2018-04-04,20.500000,20.500000,19.000000,19.250000,19.250000,75900
2018-04-05,20.250000,20.438999,20.200001,20.250000,20.250000,800
2018-04-06,20.030001,20.450001,20.030001,20.450001,20.450001,3100
2018-04-09,21.799999,21.799999,21.459999,21.459999,21.459999,200
2018-04-10,21.500000,21.500000,21.500000,21.500000,21.500000,300
2018-04-11,20.750000,20.750000,20.450001,20.450001,20.450001,300
2018-04-12,21.000000,22.580000,21.000000,22.250000,22.250000,11500
2018-04-13,21.990000,21.990999,21.510000,21.582001,21.582001,11500
2018-04-16,20.500000,20.500000,20.250000,20.250000,20.250000,1400
2018-04-17,21.250000,21.400000,21.250000,21.400000,21.400000,600
2018-04-18,22.450001,22.500000,22.250000,22.270000,22.270000,3600
2018-04-19,21.500000,21.820000,21.500000,21.809999,21.809999,6800
2018-04-20,22.316999,22.500000,22.280001,22.500000,22.500000,900
2018-04-23,22.700001,22.700001,22.700001,22.700001,22.700001,300
2018-04-24,22.750000,22.920000,22.750000,22.790001,22.790001,500
2018-04-25,22.750000,22.750000,22.750000,22.750000,22.750000,200
2018-04-26,22.000000,22.000000,22.000000,22.000000,22.000000,100
2018-04-27,21.500000,21.750000,21.500000,21.750000,21.750000,200
2018-04-30,21.500000,21.500000,21.500000,21.500000,21.500000,100
2018-05-01,21.750000,22.000000,21.750000,21.760000,21.760000,300
2018-05-02,22.299999,22.530001,22.250000,22.500000,22.500000,5400
2018-05-03,22.250000,22.250000,22.250000,22.250000,22.250000,100
2018-05-04,23.250000,23.250000,23.000000,23.000000,23.000000,200
2018-05-07,23.000000,23.000000,23.000000,23.000000,23.000000,0
2018-05-08,22.750000,23.500000,22.740000,23.500000,23.500000,2400
2018-05-09,22.250000,23.520000,22.250000,23.250000,23.250000,500
2018-05-10,22.750000,22.750000,22.750000,22.750000,22.750000,200
2018-05-11,23.250000,24.000000,23.250000,23.750000,23.750000,4400
2018-05-14,23.250000,23.250000,23.000000,23.010000,23.010000,400
2018-05-15,21.400000,21.400000,21.400000,21.400000,21.400000,200
2018-05-16,21.000000,21.000000,21.000000,21.000000,21.000000,100
2018-05-17,21.000000,21.000000,21.000000,21.000000,21.000000,0
2018-05-18,21.000000,21.000000,21.000000,21.000000,21.000000,0
2018-05-21,22.500000,22.500000,22.500000,22.500000,22.500000,300
2018-05-22,21.250000,21.250000,21.000000,21.000000,21.000000,200
2018-05-23,20.500000,20.500000,20.000000,20.000000,20.000000,900
2018-05-24,19.500000,19.500000,19.500000,19.500000,19.500000,1100
2018-05-25,19.500000,19.500000,19.500000,19.500000,19.500000,0
2018-05-29,19.250000,19.250000,18.732000,18.732000,18.732000,1100
2018-05-30,19.496000,19.496000,19.496000,19.496000,19.496000,100
2018-05-31,19.459999,20.499001,19.459999,20.237000,20.237000,600
2018-06-01,20.750000,21.000000,20.750000,21.000000,21.000000,200
2018-06-04,21.250000,21.250000,21.246000,21.246000,21.246000,500
2018-06-05,21.500000,22.129999,21.500000,22.129999,22.129999,600
2018-06-06,22.500000,22.500000,22.000000,22.000000,22.000000,600
2018-06-07,22.010000,22.010000,21.916000,21.969999,21.969999,1200
2018-06-08,21.969999,21.969999,21.969999,21.969999,21.969999,0
2018-06-11,21.969999,21.969999,21.969999,21.969999,21.969999,0
2018-06-12,22.190001,22.190001,22.190001,22.190001,22.190001,100
2018-06-13,22.476999,22.476999,22.070000,22.254000,22.254000,5500
2018-06-14,22.532000,22.532000,22.532000,22.532000,22.532000,100
2018-06-15,22.250000,22.250000,22.250000,22.250000,22.250000,100
2018-06-18,22.250000,22.250000,22.250000,22.250000,22.250000,0
2018-06-19,21.350000,21.350000,21.299999,21.299999,21.299999,400
2018-06-20,20.702999,20.794001,20.702999,20.794001,20.794001,400
2018-06-21,21.395000,21.400000,21.395000,21.400000,21.400000,200
2018-06-22,21.400000,21.400000,21.400000,21.400000,21.400000,100
2018-06-25,21.400000,21.400000,21.400000,21.400000,21.400000,0
2018-06-26,21.400000,21.400000,21.400000,21.400000,21.400000,0
2018-06-27,21.040001,21.040001,21.040001,21.040001,21.040001,100
2018-06-28,21.430000,21.580000,21.430000,21.580000,21.580000,4000
2018-06-29,22.040001,22.040001,22.000000,22.040001,22.040001,1400
2018-07-02,22.030001,22.035000,21.841999,21.841999,21.841999,300
2018-07-03,21.995001,21.995001,21.995001,21.995001,21.995001,100
2018-07-05,22.250000,22.250000,22.250000,22.250000,22.250000,100
2018-07-06,22.639999,22.670000,22.584999,22.670000,22.670000,1000
2018-07-09,22.020000,22.020000,22.020000,22.020000,22.020000,100
2018-07-10,22.299999,22.299999,22.200001,22.230000,22.230000,6600
2018-07-11,22.230000,22.230000,22.230000,22.230000,22.230000,0
2018-07-12,23.000000,23.469999,23.000000,23.469999,23.469999,300
2018-07-13,23.469999,23.469999,23.469999,23.469999,23.469999,0
2018-07-16,23.469999,23.469999,23.469999,23.469999,23.469999,0
